[2026-07-03T03:52:36.021Z] GET /game/assets/images/wallnut-states.png HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:52:36.022Z] GET /game/assets/images/Shovel.png HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:52:36.022Z] GET /game/assets/images/peashooter.png HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:52:36.025Z] GET /game/assets/images/sunflower.png HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:52:36.027Z] GET /game/js/audio.js HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:52:36.027Z] GET /game/js/storage.js HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:52:36.028Z] GET /game/js/board.js HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:52:36.028Z] GET /game/js/state.js HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:52:36.032Z] GET /game/js/ui.js HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:52:36.034Z] GET /game/js/plants.js HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:52:36.034Z] GET /game/js/zombies.js HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:52:36.034Z] GET /game/js/collision.js HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:52:36.037Z] GET /game/assets/images/mainScreen.png HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:52:37.192Z] GET /ranking HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
